obs,sdf_2020_f,unrest,pop,male,v_age,income,region,sdf_2016_f,sdf_2024_f
Yes,63.84739267,0,13074,0.533836443,47,4,Eastern Islands,36.7636615,64.86739267
Yes,40.6213831,0,6648,0.508941668,40,3,Eastern Islands,40.75558276,41.6413831
Yes,42.71938853,0,10836,0.508376394,49,4,West,42.12346314,43.73938853
Yes,49.12024809,0,14627,0.522662222,85,4,Eastern Islands,49.45561265,50.14024809
Yes,38.1395829,0,7737,0.511256,45,3,West,28.74131699,39.1595829
Yes,39.81942109,0,18381,0.501020911,45,3,Northern Rim,58.0381649,40.83942109
Yes,45.25991032,0,10041,0.558386868,30,2,Northern Rim,39.79882083,46.27991032
Yes,61.21219123,0,9635,0.496528841,41,7,West,41.25539686,62.23219123
Yes,57.54860615,0,7442,0.496621254,67,3,Northern Rim,53.71930435,58.56860615
Yes,53.73568981,1,5280,0.5248236,18,3,West,42.08803816,54.75568981
Yes,37.07533073,0,7480,0.516154603,29,4,Eastern Islands,56.41732404,38.09533073
Yes,59.83219048,0,9611,0.513041594,31,2,Northern Rim,54.23188516,60.85219048
Yes,46.5691384,0,12722,0.505150874,47,3,West,31.12964783,47.5891384
Yes,45.27052642,0,8577,0.502522785,43,3,Northern Rim,37.78545143,46.29052642
Yes,62.63975471,0,12149,0.488493262,56,4,Eastern Islands,40.26099141,63.65975471
Yes,52.80025369,0,14832,0.504110482,40,4,West,51.32693813,53.82025369
Yes,46.25756773,0,8479,0.500132762,49,5,Eastern Islands,42.69671745,47.27756773
Yes,57.4214526,0,4541,0.555772405,23,5,West,45.09372296,58.4414526
Yes,47.76819239,0,4305,0.521108361,26,3,Northern Rim,43.80312851,48.78819239
Yes,61.70638661,0,10845,0.526305258,41,4,Northern Rim,49.79740003,62.72638661
Yes,52.15725189,0,16267,0.514598002,42,4,Northern Rim,37.19392164,53.17725189
Yes,50.60870238,0,3954,0.482947994,31,3,Eastern Islands,45.08151307,51.62870238
Yes,47.71813707,0,7004,0.527670291,42,3,West,43.33567527,48.73813707
Yes,45.64748015,0,14321,0.513001388,45,1,Eastern Islands,46.52063743,46.66748015
Yes,67.25040899,0,12948,0.490733065,28,4,Northern Rim,41.53736948,68.27040899
Yes,67.31408019,0,19121,0.534584751,59,4,Eastern Islands,49.62271518,68.33408019
Yes,52.5417293,0,10213,0.507311807,31,4,Northern Rim,56.36655623,53.5617293
Yes,38.00487993,0,11286,0.531648039,39,3,West,65.45467659,39.02487993
Yes,57.4928354,0,6891,0.507868529,74,4,West,46.64542686,58.5128354
Yes,57.89206383,0,8506,0.518357782,44,3,West,42.74725789,58.91206383
Yes,56.42263702,0,14750,0.513981473,53,3,Northern Rim,64.40773774,57.44263702
Yes,50.8263446,0,16474,0.508390587,47,6,Eastern Islands,59.26807913,51.8463446
Yes,46.70292284,0,6316,0.516197759,39,4,Northern Rim,37.39930912,47.72292284
Yes,52.16863424,0,2062,0.515707866,31,5,Northern Rim,44.07730508,53.18863424
Yes,46.92097226,0,15974,0.498248086,40,4,Eastern Islands,57.86761396,47.94097226
Yes,43.28538497,0,8501,0.49394047,18,5,Eastern Islands,48.25394284,44.30538497
Yes,50.52086729,1,13740,0.514194004,38,4,West,47.60723037,51.54086729
Yes,58.76513189,0,12364,0.494160259,64,3,Northern Rim,49.09325102,59.78513189
Yes,64.49701984,0,6708,0.508321276,18,4,Northern Rim,41.03376244,65.51701984
Yes,38.80649262,0,11454,0.467092553,50,3,Northern Rim,39.90090056,39.82649262
Yes,36.63948053,0,10112,0.528209894,49,3,West,50.44705011,37.65948053
Yes,48.7088651,0,4853,0.482327187,71,4,Eastern Islands,43.57381437,49.7288651
Yes,46.85585546,0,7050,0.500882468,39,5,Eastern Islands,56.53081226,47.87585546
Yes,59.67509919,0,7092,0.550847328,72,4,Northern Rim,42.934024,60.69509919
Yes,60.63782118,0,9145,0.490536038,35,1,Eastern Islands,50.84782173,61.65782118
Yes,60.78955274,0,15521,0.521790401,27,6,Eastern Islands,41.37929243,61.80955274
Yes,52.58667421,0,6912,0.536065669,36,3,West,41.26466891,53.60667421
Yes,52.8690457,0,21288,0.512755906,23,5,Northern Rim,44.22240771,53.8890457
Yes,50.0760902,0,13355,0.498766938,29,2,Northern Rim,52.10053902,51.0960902
Yes,53.76292389,0,13728,0.495416472,37,3,Eastern Islands,45.31953512,54.78292389
Yes,39.50286573,0,6869,0.504106985,55,3,West,46.33910314,40.52286573
Yes,49.71787899,0,11440,0.518530504,59,3,West,44.84560362,50.73787899
Yes,48.48314286,0,4053,0.510046656,35,2,Eastern Islands,38.28472018,49.50314286
Yes,40.06075317,0,5654,0.511749764,42,4,Eastern Islands,46.51775275,41.08075317
Yes,38.95122357,0,11340,0.528729876,38,5,Eastern Islands,49.4391293,39.97122357
Yes,54.89297265,0,11243,0.523114417,31,2,West,52.95563536,55.91297265
Yes,49.5568811,0,11306,0.532250558,45,3,West,56.912158,50.5768811
Yes,59.83797479,0,1640,0.477065288,39,4,West,50.41681668,60.85797479
Yes,51.52505057,0,16786,0.523385759,47,2,West,54.14842853,52.54505057
Yes,50.61703132,0,9151,0.48181283,46,3,West,51.13021631,51.63703132
Yes,40.6053205,0,11026,0.514838095,62,4,Northern Rim,48.38429326,41.6253205
Yes,48.64150714,0,8807,0.513498859,35,5,West,56.16385276,49.66150714
Yes,59.44973598,0,10665,0.517092705,31,5,Northern Rim,54.98435863,60.46973598
Yes,49.89603759,0,3960,0.494247299,45,4,West,39.20903724,50.91603759
Yes,39.24431549,0,13394,0.515658691,18,4,Eastern Islands,38.71746215,40.26431549
Yes,50.26615627,0,8048,0.507695883,21,3,Eastern Islands,47.13008992,51.28615627
Yes,60.34704221,0,12816,0.5102766,18,3,West,46.16095828,61.36704221
Yes,48.17175089,0,10266,0.498700246,19,4,Eastern Islands,51.02302532,49.19175089
Yes,53.79376551,0,13333,0.514917281,21,3,Eastern Islands,42.29123876,54.81376551
Yes,51.94165596,0,8427,0.523560159,39,5,Eastern Islands,40.16441725,52.96165596
Yes,55.21472831,0,9966,0.499002624,31,4,Eastern Islands,48.23375808,56.23472831
Yes,41.31781988,0,7567,0.511823707,51,5,West,43.2005498,42.33781988
Yes,56.47528477,0,11251,0.52979473,59,5,West,49.48112319,57.49528477
Yes,56.223523,0,8327,0.468675425,51,3,West,42.56660727,57.243523
Yes,50.28808372,0,7420,0.512616054,57,2,Northern Rim,36.06541654,51.30808372
Yes,45.87075096,0,15650,0.518727803,40,3,West,51.96737886,46.89075096
Yes,52.41244414,0,3396,0.511059948,54,4,Northern Rim,51.61914729,53.43244414
Yes,45.10865146,0,8254,0.517023076,21,3,Northern Rim,52.29635597,46.12865146
Yes,45.18286288,0,8815,0.483862994,18,3,Eastern Islands,40.53103132,46.20286288
Yes,55.15982978,0,3311,0.553872648,54,5,Eastern Islands,41.40655321,56.17982978
Yes,55.33762893,0,3071,0.500071459,41,2,West,48.46224336,56.35762893
Yes,58.41933116,0,8788,0.506650007,52,5,Eastern Islands,51.69571234,59.43933116
Yes,57.03908193,0,6255,0.507954725,49,5,Eastern Islands,46.77430478,58.05908193
Yes,47.39749171,0,8410,0.4598418,18,3,Eastern Islands,51.88651431,48.41749171
Yes,41.56071453,0,10875,0.497950955,36,2,Northern Rim,40.10196551,42.58071453
Yes,44.38305739,1,10999,0.509853652,50,2,West,32.77180052,45.40305739
Yes,43.48873915,0,12392,0.530872011,51,5,West,41.89368801,44.50873915
Yes,61.82262751,0,15626,0.495008758,33,4,West,54.70344072,62.84262751
Yes,41.6733858,0,9648,0.51413501,78,6,Northern Rim,41.93197006,42.6933858
Yes,49.29583325,0,18992,0.477463962,28,5,Eastern Islands,48.43408535,50.31583325
Yes,50.60521928,0,19156,0.532149915,29,4,West,47.31135907,51.62521928
Yes,43.7807805,0,10767,0.517551204,76,1,West,54.65606309,44.8007805
Yes,43.59774802,0,15141,0.537771338,53,3,West,40.43415966,44.61774802
Yes,41.45127883,0,12494,0.518171305,30,5,Eastern Islands,45.01828792,42.47127883
Yes,49.90601182,0,4687,0.483235591,34,4,Eastern Islands,41.3559716,50.92601182
Yes,48.9299396,0,8167,0.494337456,47,4,Eastern Islands,50.46497594,49.9499396
Yes,44.66064628,0,8439,0.492335937,52,2,West,44.2113483,45.68064628
Yes,52.19240008,0,11109,0.537230377,35,5,West,44.5147422,53.21240008
Yes,65.89602148,0,9508,0.497904699,54,3,West,49.84611009,66.91602148
Yes,46.74041471,0,8605,0.50404277,44,4,Eastern Islands,52.0380535,47.76041471
Yes,52.49839201,1,10614,0.52262901,22,4,West,46.07763924,53.51839201
Yes,48.55141832,0,11643,0.454168976,43,5,West,36.13554874,49.57141832
Yes,58.1794573,0,9360,0.512858874,36,3,West,46.21049781,59.1994573
Yes,47.39604337,0,12961,0.484352965,62,3,Northern Rim,44.83227481,48.41604337
Yes,52.78260787,0,12116,0.532322061,42,2,West,34.73946605,53.80260787
Yes,48.38389068,0,15226,0.49665134,51,3,West,47.94301858,49.40389068
Yes,50.83582532,0,5862,0.527144774,40,3,Northern Rim,46.62615832,51.85582532
Yes,50.60974043,0,8751,0.505750153,33,5,Northern Rim,49.7797949,51.62974043
Yes,58.9172198,0,19119,0.480816282,28,4,Northern Rim,35.56150853,59.9372198
Yes,52.46002299,0,8695,0.518387183,51,3,West,57.18840292,53.48002299
Yes,46.715802,0,9364,0.493007448,32,3,Northern Rim,44.89059951,47.735802
Yes,55.09391843,0,8010,0.509389539,52,4,West,44.13173329,56.11391843
Yes,50.92345839,0,6255,0.511441448,23,3,Northern Rim,51.64372297,51.94345839
Yes,51.38388645,0,10612,0.477364295,29,3,Northern Rim,45.43439506,52.40388645
Yes,49.83508131,0,7397,0.533230214,50,2,Eastern Islands,46.17691438,50.85508131
Yes,44.33151458,0,9357,0.521640212,50,2,Northern Rim,50.17958978,45.35151458
Yes,41.33628946,0,10996,0.529159725,62,4,Eastern Islands,44.86042807,42.35628946
Yes,54.17105866,0,12717,0.507939448,55,3,Eastern Islands,56.83083855,55.19105866
Yes,45.49095813,0,16670,0.525976937,34,4,Northern Rim,47.53246312,46.51095813
Yes,44.47040132,0,8292,0.488113012,36,4,Northern Rim,41.49914811,45.49040132
Yes,48.93030957,0,9126,0.518494408,45,5,Eastern Islands,58.21891522,49.95030957
Yes,40.58745602,0,1624,0.488755134,51,5,Northern Rim,40.19774459,41.60745602
Yes,54.63640901,0,3869,0.496238455,46,3,Eastern Islands,47.23075182,55.65640901
Yes,38.15793693,0,15379,0.53010159,24,2,Eastern Islands,50.0068342,39.17793693
Yes,39.96065654,0,7121,0.495384095,44,3,Eastern Islands,48.75542145,40.98065654
Yes,55.34894835,0,16254,0.473278235,37,6,Eastern Islands,50.79817308,56.36894835
Yes,45.18957542,0,8608,0.524383043,48,3,Northern Rim,50.66169191,46.20957542
Yes,63.91615701,0,4198,0.510962817,35,5,Northern Rim,34.82739902,64.93615701
Yes,50.87858742,0,7387,0.509345054,34,2,Northern Rim,51.85511916,51.89858742
Yes,54.23142198,0,11252,0.481169558,34,3,Eastern Islands,43.9733325,55.25142198
Yes,41.89624916,0,6726,0.503501449,52,3,Eastern Islands,52.91351591,42.91624916
Yes,55.78945295,0,8797,0.476581209,35,3,Northern Rim,45.4993123,56.80945295
Yes,44.60850031,0,3063,0.509995304,59,2,Eastern Islands,46.49645199,45.62850031
Yes,57.76394065,0,8048,0.491933782,32,5,Northern Rim,51.40136695,58.78394065
Yes,46.94790219,0,7600,0.496461341,54,4,Northern Rim,46.71148744,47.96790219
Yes,50.85975062,0,7128,0.515209923,38,4,West,54.93304353,51.87975062
Yes,55.50507631,0,10043,0.515364903,39,5,Northern Rim,38.94076958,56.52507631
Yes,61.9120195,0,3347,0.510174375,38,3,Northern Rim,48.20906478,62.9320195
Yes,57.01339304,0,15074,0.528110445,60,5,Northern Rim,61.29632921,58.03339304
Yes,56.65224741,0,6939,0.51330504,66,4,Eastern Islands,48.09704267,57.67224741
Yes,55.12791522,0,11491,0.539928905,19,2,Northern Rim,49.25589573,56.14791522
Yes,36.06956904,0,12059,0.512024049,49,4,Eastern Islands,53.3906483,37.08956904
Yes,69.2276482,0,10367,0.503255507,30,4,Eastern Islands,33.11499403,70.2476482
Yes,46.31852464,0,7548,0.530952633,64,3,Northern Rim,39.3319023,47.33852464
Yes,60.60414314,0,11985,0.47064539,46,4,Eastern Islands,47.95855834,61.62414314
Yes,59.06254352,0,9833,0.481533395,36,3,Northern Rim,44.04050542,60.08254352
Yes,59.92687597,0,13746,0.533759108,42,5,Northern Rim,55.43104163,60.94687597
Yes,55.50394215,0,15730,0.470422017,76,4,Eastern Islands,39.61641047,56.52394215
Yes,47.14001515,0,15233,0.484723025,30,3,West,43.76051637,48.16001515
Yes,44.30818227,0,8568,0.474432047,40,5,West,48.79584143,45.32818227
Yes,48.93218104,0,8431,0.492939451,50,3,Eastern Islands,39.63944925,49.95218104
Yes,59.00988281,0,8754,0.491655447,54,5,West,49.93470169,60.02988281
Yes,59.8910887,0,5232,0.520188693,25,3,Northern Rim,50.15190585,60.9110887
Yes,47.62536582,0,1660,0.494360155,55,4,Eastern Islands,42.01000292,48.64536582
Yes,57.60584196,0,17024,0.489333038,38,4,Northern Rim,59.83245153,58.62584196
Yes,35.51445464,0,10730,0.515458805,41,4,West,48.06067334,36.53445464
Yes,39.43082877,0,18512,0.496298484,18,2,Northern Rim,49.96742703,40.45082877
Yes,51.28175801,1,10772,0.529449785,51,5,Eastern Islands,48.57234443,52.30175801
Yes,50.63863336,0,9255,0.498447291,24,5,West,35.6937628,51.65863336
Yes,38.5791877,0,12065,0.504212633,66,5,West,47.47270171,39.5991877
Yes,65.64927321,0,10210,0.534005031,72,3,West,49.41268529,66.66927321
Yes,49.14936148,0,8127,0.495845588,46,5,Eastern Islands,48.72393629,50.16936148
Yes,51.63422306,0,1556,0.521727609,26,4,West,55.35163319,52.65422306
Yes,46.29783671,0,15123,0.495910295,44,5,Eastern Islands,42.6784979,47.31783671
Yes,48.10930052,0,7272,0.525159772,55,5,West,41.24119091,49.12930052
Yes,55.39264763,0,13343,0.512704638,31,4,Northern Rim,40.91618246,56.41264763
Yes,67.8881247,0,12103,0.509189469,42,4,Eastern Islands,44.02584448,68.9081247
Yes,48.73515476,0,8962,0.503995451,58,4,Eastern Islands,43.51596252,49.75515476
Yes,43.00559298,0,9063,0.526326895,24,3,Eastern Islands,52.46154043,44.02559298
Yes,36.1101954,0,9296,0.48470595,28,4,West,52.0751334,37.1301954
Yes,63.01215221,0,13684,0.527280857,59,3,Northern Rim,50.45010024,64.03215221
Yes,55.09241745,0,13482,0.552045233,68,3,Northern Rim,48.07948635,56.11241745
Yes,51.53996615,0,5343,0.49883743,43,2,West,42.34215729,52.55996615
Yes,51.94646861,0,11530,0.498084531,22,4,Eastern Islands,37.68438084,52.96646861
Yes,44.9158442,0,11423,0.492015493,41,3,Northern Rim,45.30701676,45.9358442
Yes,42.29693141,0,10333,0.505854298,28,4,Eastern Islands,45.89705389,43.31693141
Yes,45.43738668,0,7993,0.502660972,48,4,West,39.1072306,46.45738668
Yes,47.26075137,0,6705,0.471991938,26,5,Eastern Islands,43.13559151,48.28075137
Yes,37.21291071,0,731,0.545469776,36,4,West,45.51718567,38.23291071
Yes,61.32772357,1,14894,0.514276627,23,2,Eastern Islands,47.19429829,62.34772357
Yes,49.90783871,0,9521,0.519626997,32,2,Eastern Islands,44.05813333,50.92783871
Yes,43.20369797,0,5060,0.501505698,77,4,West,49.01344096,44.22369797
Yes,57.01181372,0,7141,0.50701012,63,4,West,41.88266844,58.03181372
Yes,50.90355374,0,18182,0.522083472,29,5,Eastern Islands,43.99864269,51.92355374
Yes,41.13265388,0,10859,0.5180238,45,5,Northern Rim,39.12827781,42.15265388
Yes,46.43028542,1,8292,0.529836175,35,4,Northern Rim,50.65969399,47.45028542
Yes,57.17757344,0,12401,0.497932072,32,3,Northern Rim,38.80755339,58.19757344
Yes,50.1117886,0,6256,0.526339385,56,5,Eastern Islands,52.24802513,51.1317886
Yes,62.2534609,0,1524,0.549390006,55,1,Eastern Islands,48.71860198,63.2734609
Yes,48.61777148,0,4562,0.484122849,59,4,West,48.14130586,49.63777148
Yes,56.62121902,0,7506,0.518019634,62,1,Northern Rim,50.08391706,57.64121902
Yes,45.72476958,0,15798,0.516444867,33,2,Northern Rim,43.89715537,46.74476958
Yes,56.00422953,0,10664,0.522270205,22,2,West,56.3220963,57.02422953
Yes,46.66148902,0,12053,0.507852129,18,6,Northern Rim,38.24031154,47.68148902
Yes,46.38731942,0,12936,0.510767435,38,3,Eastern Islands,47.63334624,47.40731942
Yes,55.69447676,0,13419,0.502533977,18,4,Northern Rim,51.48995091,56.71447676
Yes,56.18709169,0,3340,0.55068946,75,3,West,50.91967535,57.20709169
Yes,70.8343055,0,7394,0.498331802,57,2,Eastern Islands,50.71077716,71.8543055
Yes,47.96358649,0,10648,0.512718592,38,4,Eastern Islands,43.84719967,48.98358649
Yes,45.11982189,0,7840,0.517241041,54,3,Eastern Islands,57.15252855,46.13982189
Yes,50.38192479,0,9141,0.512601098,49,2,West,48.88386621,51.40192479
Yes,45.48323814,0,100,0.499070921,28,3,Northern Rim,55.63020907,46.50323814
Yes,49.73190455,0,18261,0.49503787,39,4,Northern Rim,46.55099194,50.75190455
Yes,52.67665228,0,11121,0.557033884,54,3,Eastern Islands,51.01494781,53.69665228
Yes,51.5400198,0,11227,0.505318606,42,3,Eastern Islands,35.07061818,52.5600198
Yes,55.65373518,0,10690,0.528626606,43,4,Eastern Islands,48.59650332,56.67373518
Yes,56.78991887,0,5734,0.522319186,28,3,Northern Rim,48.6499014,57.80991887
Yes,64.55509966,0,3889,0.53735787,42,2,Eastern Islands,44.71307978,65.57509966
Yes,48.04869971,0,15790,0.498654861,22,3,Northern Rim,46.00718404,49.06869971
Yes,62.24875179,0,11630,0.526583566,18,4,West,47.97614329,63.26875179
Yes,51.70536672,0,7220,0.554691727,31,3,West,50.9279082,52.72536672
Yes,58.047942,0,11827,0.488648051,44,2,West,47.87966519,59.067942
Yes,52.16820375,1,7270,0.486366093,45,3,West,46.58637062,53.18820375
Yes,35.75485333,0,2448,0.507495563,57,4,Eastern Islands,45.61789982,36.77485333
Yes,50.24781599,0,789,0.499662747,18,3,Northern Rim,53.3354909,51.26781599
Yes,54.56086344,0,10806,0.5591783,46,4,Northern Rim,50.53270023,55.58086344
Yes,40.11128347,0,9749,0.493946794,49,5,Eastern Islands,51.90225236,41.13128347
Yes,43.67048246,0,11555,0.522678612,18,3,Eastern Islands,44.69501948,44.69048246
Yes,53.97412126,0,4937,0.521349299,48,3,West,44.55778549,54.99412126
Yes,56.01849227,0,17681,0.496784753,42,5,Eastern Islands,58.85377791,57.03849227
Yes,36.09413946,0,11143,0.484508644,42,3,Eastern Islands,44.30867112,37.11413946
Yes,56.76096233,0,20471,0.52770092,49,4,West,49.07478431,57.78096233
Yes,53.7557502,0,1998,0.514051653,43,4,Eastern Islands,34.10303677,54.7757502
Yes,47.62228549,0,4535,0.472284954,68,5,Northern Rim,36.47238948,48.64228549
Yes,40.27804038,0,9852,0.537697217,42,4,Eastern Islands,49.75337107,41.29804038
Yes,50.99421862,0,11090,0.491166352,23,4,West,38.5932769,52.01421862
Yes,43.04603912,0,16289,0.474911549,32,2,Eastern Islands,49.87798015,44.06603912
Yes,54.00831415,0,5393,0.480953593,61,3,Eastern Islands,50.43961977,55.02831415
Yes,38.5061643,0,7806,0.524045101,25,5,Northern Rim,41.84578184,39.5261643
Yes,48.12554092,0,10469,0.543054885,41,4,Northern Rim,50.92432797,49.14554092
Yes,37.95983481,0,11243,0.490762929,18,4,Eastern Islands,53.65878253,38.97983481
Yes,45.91195059,0,14812,0.526021651,18,4,Eastern Islands,47.72700756,46.93195059
Yes,49.72502338,0,12654,0.526780168,38,3,Eastern Islands,46.13837627,50.74502338
Yes,56.15582206,0,16683,0.545166406,60,4,Northern Rim,41.0531344,57.17582206
Yes,44.607418,0,8858,0.509966177,29,6,West,46.78869233,45.627418
Yes,45.87529096,0,6065,0.497378127,48,4,West,54.26333102,46.89529096
Yes,41.46821435,0,5253,0.51724398,30,4,Northern Rim,53.83038845,42.48821435
Yes,46.93095945,0,1748,0.501046088,33,4,Northern Rim,49.79475606,47.95095945
Yes,51.22033499,0,13304,0.530431465,59,1,Eastern Islands,43.12351822,52.24033499
Yes,44.38683467,0,15716,0.471256087,22,2,West,52.08123359,45.40683467
Yes,52.30626049,0,7343,0.532178517,31,2,Eastern Islands,45.59473229,53.32626049
Yes,57.72781646,0,100,0.491079693,40,2,Northern Rim,46.92637526,58.74781646
Yes,44.86383814,0,7696,0.547123335,24,3,Eastern Islands,58.45100177,45.88383814
Yes,41.4505657,0,6524,0.536780906,23,1,Eastern Islands,50.91607183,42.4705657
Yes,51.19924011,0,15795,0.487285318,23,5,Northern Rim,40.38634405,52.21924011
Yes,50.67784251,0,12795,0.516178142,57,2,West,51.53922697,51.69784251
Yes,51.84440258,0,10330,0.508619733,37,4,Northern Rim,52.18442254,52.86440258
Yes,56.13055584,0,8540,0.500342924,39,3,Northern Rim,48.03941986,57.15055584
Yes,53.10643477,0,13811,0.495595427,25,5,West,51.83207568,54.12643477
Yes,52.52354114,0,5444,0.499193508,29,3,Northern Rim,50.69470147,53.54354114
Yes,52.82777128,0,18130,0.539314492,41,3,Eastern Islands,37.19030379,53.84777128
Yes,41.11954597,0,11740,0.52932303,50,4,Northern Rim,43.22121595,42.13954597
Yes,43.77362434,0,13694,0.523439175,37,2,Eastern Islands,49.92540607,44.79362434
Yes,52.86418614,0,11739,0.49631603,35,3,Northern Rim,35.80959598,53.88418614
Yes,50.26811871,0,15077,0.517735168,24,4,Eastern Islands,56.98666821,51.28811871
Yes,40.50975205,0,14294,0.484559875,28,2,Northern Rim,45.44665841,41.52975205
Yes,63.3262589,0,12324,0.495411351,37,2,West,32.92959072,64.3462589
Yes,67.49640517,0,5227,0.487762224,49,4,West,44.02534281,68.51640517
Yes,59.44572157,0,12603,0.514591352,39,3,West,52.87324543,60.46572157
Yes,72.75379416,0,4908,0.504804516,52,1,Northern Rim,52.05712238,73.77379416
Yes,39.11839225,0,5355,0.462417161,34,3,Eastern Islands,46.99567969,40.13839225
Yes,63.43856537,0,10698,0.513060591,39,3,West,52.3069763,64.45856537
Yes,41.25743655,0,4114,0.469489501,53,4,Northern Rim,32.84529285,42.27743655
Yes,48.03170421,0,3530,0.520358482,45,3,Northern Rim,49.3969722,49.05170421
Yes,42.01653979,0,11807,0.526144436,63,4,Eastern Islands,44.53934608,43.03653979
Yes,59.7114049,0,3897,0.516615274,47,2,Northern Rim,42.3521723,60.7314049
Yes,52.29744489,0,8122,0.51060164,21,4,Eastern Islands,35.55530703,53.31744489
Yes,50.3618884,0,20792,0.49993416,45,3,Northern Rim,56.27877965,51.3818884
Yes,40.18020091,0,12622,0.539843294,42,3,Eastern Islands,46.39608379,41.20020091
Yes,41.4188513,0,10480,0.514801644,41,4,Eastern Islands,48.12573025,42.4388513
Yes,48.80998918,0,6352,0.50257407,58,5,Eastern Islands,42.86507478,49.82998918
Yes,32.96404276,0,11257,0.50956389,38,5,West,31.29592871,33.98404276
Yes,57.17168941,0,6605,0.528480453,54,5,Northern Rim,39.42244299,58.19168941
Yes,64.4257008,0,12168,0.560793382,24,3,Eastern Islands,26.38098699,65.4457008
Yes,62.57487981,0,16898,0.491770148,31,5,Eastern Islands,49.07896753,63.59487981
Yes,40.24226239,0,7223,0.519903569,53,4,Northern Rim,43.79645664,41.26226239
Yes,47.85256749,0,9348,0.518355337,29,4,Eastern Islands,38.45469498,48.87256749
Yes,60.06119106,0,11561,0.552418927,43,5,Eastern Islands,52.40072573,61.08119106
Yes,55.7344281,0,7882,0.505488764,50,4,Northern Rim,33.08331155,56.7544281
Yes,47.63513182,0,2411,0.49670201,45,2,Northern Rim,43.48498559,48.65513182
Yes,57.17827017,0,7281,0.507918275,52,3,Northern Rim,49.84490515,58.19827017
